DEPTH;CAL;DEN;DTC;DTS;GR;NEU;nmrFF;nmrPhie;nmrPhiT;nmrPerm;PE;RES10;RES90
2214,1756;12,3574;2,43;65,0619;120,1176;16,492;0,1697;0,1338;0,1499;0,1527;271,8782;5,5783;202,236496;252,3266
2214,328;12,3638;2,4219;65,444;120,7055;15,9197;0,1783;0,1393;0,1578;0,1593;314,3732;5,4868;235,2317047;294,8684
2214,4804;12,3738;2,4073;65,6493;121,1874;14,7314;0,1859;0,14;0,1595;0,1624;272,3157;5,393;264,8150024;322,7549
2214,6328;12,3707;2,3947;65,7375;121,0229;14,5316;0,1979;0,1407;0,1612;0,1655;241,2156;5,3407;305,7943115;360,9131
2214,7852;12,3752;2,3911;66,3623;120,8415;14,409;0,1983;0,1373;0,1581;0,1595;246,9032;5,3474;350,4381104;417,8018
2214,9376;12,3676;2,3908;66,7352;121,1583;13,46;0,1987;0,1407;0,1567;0,1567;470,3699;5,3837;382,7149048;437,9061
2215,09;12,3625;2,3915;67,1075;122,057;13,9156;0,2041;0,15;0,1603;0,1603;1397,6563;5,3884;407,723999;461,1328
2215,2424;12,3613;2,3855;67,4803;123,6825;13,9454;0,209;0,1527;0,1606;0,1606;2522,0374;5,3685;437,7898865;509,1164
2215,3948;12,3693;2,3771;67,6593;125,5646;14,3578;0,2116;0,1555;0,1608;0,1608;5605,772;5,3621;475,8422852;568,6047
2215,5472;12,3955;2,3712;67,8424;126,9273;14,0775;0,2096;0,1535;0,1599;0,1621;2204,2454;5,398;502,7150879;602,6973
2215,6996;12,4131;2,3706;67,9542;127,2321;13,8285;0,2043;0,1528;0,1624;0,1624;1756,1461;5,4349;513,8286133;589,9537
2215,852;12,3988;2,3727;67,8414;126,975;13,6263;0,2085;0,1543;0,1711;0,1711;724,7985;5,4357;532,3076782;631,2875
2216,0044;12,3715;2,3733;67,9633;126,6551;13,1913;0,2056;0,1539;0,1741;0,1741;531,7192;5,3977;553,6359863;642,2028
2216,1568;12,3611;2,3741;68,4182;126,4706;13,2651;0,2096;0,1535;0,1771;0,1771;413,2505;5,3402;569,0446167;629,4059
2216,3092;12,3586;2,3725;68,8209;126,8064;13,5804;0,2121;0,153;0,1788;0,1795;347,1861;5,2823;572,8892212;664,9415
2216,4616;12,3609;2,3715;68,8732;126,5019;14,0454;0,2152;0,1562;0,1819;0,1856;335,1719;5,2175;572,8892212;698,3324
2216,614;12,3575;2,3743;68,244;124,1638;14,8856;0,2223;0,1594;0,1828;0,1927;317,1677;5,1437;568,2689209;626,5836
2216,7664;12,3566;2,3847;68,4439;121,4147;16,217;0,2062;0,1635;0,1844;0,1973;353,765;5,0619;542,0189209;654,1429
2216,9188;12,3531;2,3901;69,0286;120,5572;16,8251;0,2092;0,1675;0,1859;0,2019;393,4843;5,0333;527,7241211;674,2742
2217,0712;12,3563;2,3811;69,3943;123,2636;17,273;0,2077;0,1741;0,1902;0,2106;445,8701;5,1075;462,2182922;595,6776
2217,2236;12,3552;2,3632;69,1611;127,386;15,0305;0,2286;0,1743;0,1922;0,2029;627,1646;5,2556;475,622406;573,2509
2217,376;12,3563;2,3533;68,2061;129,1266;13,5165;0,2272;0,1633;0,1865;0,1931;416,9686;5,3908;515,4592896;669,1156
2217,5284;12,3585;2,3597;67,6724;127,4357;12,1029;0,2153;0,1566;0,1865;0,1898;288,9133;5,4586;581,1292114;709,8365
2217,6808;12,3558;2,3683;67,8291;125,3074;11,6474;0,2036;0,15;0,1865;0,1865;203,4106;5,4879;594,4611816;852,9189
2217,8332;12,3589;2,3664;68,307;124,0192;11,4372;0,2064;0,1487;0,191;0,191;163,9881;5,496;618,7583008;828,3826
2217,9856;12,3572;2,3541;68,4053;124,0592;11,5628;0,2147;0,1487;0,1933;0,1933;154,8963;5,4991;654,352417;859,4211
2218,138;12,3618;2,3457;68,4063;125,528;12,6259;0,2075;0,1366;0,1848;0,1848;93,7702;5,5592;677,2495728;868,3863
