DEPTH;CAL;DEN;DTC;GR;NEU;nmrFF;nmrPerm;nmrPhie;nmrPhiT;PE;RES10;RES90
2239,544;12,3683;2,5834;66,4507;19,5282;0,1384;0,0071;0,0026;0,0403;0,0637;4,2342;12,6733;13,20300007
2239,6964;12,3679;2,59;66,6886;21,9124;0,1444;0,0066;0,0022;0,0409;0,0643;4,402;12,4654;13,45160007
2239,8488;12,3631;2,616;65,3635;22,3733;0,1309;0,0056;0,0016;0,041;0,0642;4,369;12,3288;14,14540005
2240,0012;12,311;2,653;62,8541;21,6444;0,1138;0,0038;0,0006;0,0378;0,0591;4,0087;13,3027;15,19919968
2240,1536;12,2926;2,6558;60,5547;19,8264;0,0803;0,0022;1,00E-04;0,0295;0,0444;3,5748;17,3872;20,31389999
2240,306;12,2786;2,6486;57,1377;17,7868;0,0594;0,0021;1,00E-04;0,0244;0,0323;3,4136;24,0625;28,13500023
2240,4584;12,2752;2,6244;56,2689;14,9221;0,0541;0,0034;0,0002;0,0271;0,0336;3,6788;32,7317;40,54809952
2240,6108;12,3102;2,6499;57,858;12,4285;0,0669;0,0051;0,0005;0,0322;0,0387;4,1678;34,9496;37,40790176
2240,7632;12,3236;2,6557;60,7806;12,3752;0,1045;0,0074;0,0021;0,0438;0,0536;4,4335;25,8971;30,94420052
2240,9156;12,3143;2,6435;62,8761;13,3687;0,111;0,0073;0,0029;0,0517;0,0654;4,4257;16,5846;22,28350067
2241,068;12,2726;2,6061;64,2438;13,9617;0,1197;0,006;0,002;0,0491;0,0665;4,3796;13,2511;18,13419914
2241,2204;12,2979;2,6128;63,463;13,6307;0,1186;0,007;0,0027;0,0447;0,0672;4,4917;11,029;13,61919975
2241,3728;12,3008;2,6331;63,0444;13,7767;0,1214;0,0071;0,003;0,0397;0,0699;4,4896;10,9084;13,1395998
2241,5252;12,2747;2,656;62,3989;15,3526;0,1137;0,0043;0,0013;0,0338;0,0794;4,2918;12,4642;14,13920021
2241,6776;12,2627;2,6376;62,1787;17,153;0,0817;0,0026;0,0005;0,0318;0,0842;4,0113;15,9221;17,50370026
2241,83;12,2583;2,6096;63,6651;18,7846;0,0748;0,0026;0,0006;0,0341;0,0919;3,9272;19,8657;18,46619987
2241,9824;12,273;2,5773;67,0677;19,186;0,1251;0,0034;0,0012;0,0351;0,0994;4,022;14,9899;12,99289989
2242,1348;12,2854;2,5577;70,4621;20,2917;0,167;0,0043;0,0023;0,0355;0,1072;4,1607;10,2682;9,686499596
2242,2872;12,2948;2,5526;72,5515;20,3127;0,1804;0,0054;0,0041;0,033;0,1137;4,2638;8,4223;8,421099663
2242,4396;12,3026;2,5659;72,9665;22,2237;0,2027;0,0028;0,0009;0,0277;0,1019;4,3146;8,1773;8,421199799
2242,592;12,2916;2,5841;72,0777;20,7185;0,1911;0,0023;0,0004;0,0225;0,0806;4,3522;8,7164;8,975600243
2242,7444;12,2954;2,5985;69,6177;20,4223;0,1712;0,0045;0,0012;0,0229;0,0723;4,3436;9,9678;9,87749958
2242,8968;12,2627;2,6022;67,4874;19,2538;0,1497;0,0067;0,0023;0,0235;0,0641;4,3296;12,2627;12,07509995
2243,0492;12,2577;2,6008;65,94;19,689;0,1413;0,0091;0,004;0,0254;0,0591;4,2843;12,1559;11,05249977
2243,2016;12,2507;2,6027;65,9637;19,5533;0,1404;0,0088;0,0049;0,0288;0,0692;4,2123;10,5271;9,602199554
2243,354;12,2716;2,6031;66,9233;19,2363;0,134;0,0065;0,0027;0,0293;0,0734;4,1442;9,4379;8,603500366
2243,5064;12,2631;2,6084;67,2048;19,0979;0,1223;0,0043;0,0012;0,0311;0,0748;4,1811;8,0645;7,650599957
2243,6588;12,284;2,6185;67,3603;16,8588;0,1519;0,0023;0,0003;0,0329;0,076;4,3329;6,637;6,233200073
2243,8112;12,2586;2,6211;67,4966;14,7425;0,1756;0,0022;0,0003;0,0329;0,0759;4,4041;7,2168;6,891300201
2243,9636;12,2963;2,6197;66,8251;13,4374;0,1353;0,002;0,0002;0,0334;0,0721;4,3653;9,1405;8,190899849
2244,116;12,2817;2,6076;66,1733;13,0449;0,1344;0,0016;1,00E-04;0,0309;0,0663;4,2554;10,9134;9,110600471
2244,2684;12,2583;2,6088;65,8756;13,7744;0,1386;0,0023;0,0002;0,0287;0,0639;4,2884;12,9799;9,938300133
2244,4208;12,2902;2,6186;63,7944;13,4827;0,1386;0,0031;0,0004;0,0266;0,0616;4,4362;15,9519;11,5383997
2244,5732;12,2863;2,6448;61,5912;15,8098;0,1181;0,0038;0,0007;0,0272;0,0638;4,698;18,4553;13,93929958
