DEPTH;CAL;DEN;DTC;DTS;GR;NEU;nmrFF;nmrPerm;nmrPhie;nmrPhiT;PE;RES10;RES90
2281,9832;8,5979;2,6464;55,8182;98,3636;29,0777;0,0802;0,0522;2,5038;0,0664;0,067;5,3854;320,4161;230,3474
2282,1356;8,5389;2,6304;56,6364;99,5455;21,949;0,08;0,0654;10,7086;0,0749;0,0774;5,3293;607,371;259,3496
2282,288;8,531;2,6217;57,2727;100,7273;19,9287;0,0811;0,0673;13,9376;0,0764;0,0784;5,1879;951,0944;342,7839
2282,4404;8,5404;2,6198;57,4545;100,3636;18,6567;0,0854;0,0695;19,1553;0,0781;0,0795;5,0859;816,4154;428,8322
2282,5928;8,5426;2,6176;57,2727;100;19,3356;0,0846;0,0737;39,599;0,0815;0,0815;5,072;885,1993;458,4576
2282,7452;8,5192;2,6138;57,1818;99,3636;18,7745;0,0862;0,0767;31,5789;0,0867;0,087;5,095;883,0681;353,0981
2282,8976;8,5061;2,6121;57;99,5455;18,9136;0,0886;0,0805;20,9598;0,0945;0,0972;5,079;755,3104;479,0923
2283,05;8,5143;2,6082;57,8182;100;18,363;0,097;0,081;16,3398;0,0963;0,1017;5,0524;814,9826;934,325
2283,2024;8,4925;2,5982;58,8182;102;16,8116;0,1033;0,0819;14,1499;0,098;0,1067;5,0749;560,5799;1491,8204
2283,3548;8,49;2,5771;59,8182;103,7273;16,3376;0,1062;0,0846;14,9353;0,0997;0,1121;5,1559;477,7256;1295,9536
2283,5072;8,504;2,5652;60,3636;104,5455;15,7849;0,105;0,084;14,7147;0,102;0,111;5,2184;428,6307;649,0474
2283,6596;8,5341;2,5596;60,3636;105,1818;15,5303;0,1027;0,0784;9,762;0,0986;0,1073;5,2106;288,9563;269,0463
2283,812;8,5523;2,5574;60;104,8182;15,8202;0,1053;0,0743;7,6962;0,0934;0,1024;5,1923;211,5203;225,9272
2283,9644;8,5584;2,5626;59,1818;104,1818;15,8202;0,1021;0,0689;5,8798;0,0867;0,094;5,1977;263,132;462,7858
2284,1169;8,4946;2,581;58,7273;102,7273;18,1115;0,0954;0,0595;4,0489;0,0751;0,077;5,1756;433,1366;661,6016
2284,2693;8,4839;2,6132;56,7273;99,3636;20,0496;0,0734;0,0481;1,5537;0,0624;0,0638;5,0604;763,0593;465,8675
2284,4217;8,4833;2,651;54,8182;94,8182;23,8685;0,0551;0,0376;0,4041;0,0533;0,0566;4,8367;724,4443;415,9678
2284,5741;8,4876;2,699;53,4545;90,9091;27,1783;0,0365;0,0338;0,2371;0,0513;0,0544;4,4851;568,1472;351,9957
2284,7265;8,4928;2,7425;53,8182;90,8182;28,26;0,0384;0,0325;0,1903;0,0516;0,0554;4,1437;415,8068;271,5211
2284,8789;8,5168;2,7325;55,1818;91,6364;29,7583;0,0437;0,0346;0,2401;0,0545;0,0596;3,9818;303,525;236,1509
2285,0313;8,5271;2,6805;56;93,8182;31,4556;0,0602;0,0387;0,4217;0,0575;0,0606;4,2057;309,4494;247,1619
2285,1837;8,5365;2,6199;56;96,3636;34,7653;0,0717;0,0474;1,4063;0,0636;0,0636;4,6291;375,6165;239,4843
2285,3361;8,5538;2,5934;57;98,3636;31,7394;0,0923;0,0532;2,9258;0,0672;0,0672;5,0819;453,141;249,6007
2285,4885;8,5541;2,5892;57,8182;99,5455;26,3995;0,101;0,0606;6,4799;0,0734;0,0734;5,2864;473,127;235,3862
2285,6409;8,5444;2,5826;59,3636;101;20,2044;0,1003;0,0691;11,6113;0,0832;0,0832;5,2714;527,3746;238,4958
2285,7933;8,5365;2,5779;60,7273;102,4545;19,6952;0,0991;0,0749;14,9254;0,0909;0,0909;5,1255;575,4175;276,4607
2285,9457;8,5456;2,5711;61;101,3636;19,3492;0,0985;0,0777;18,2738;0,0937;0,0937;5,0378;574,8845;334,1699
2286,0981;8,5441;2,5678;62;102,3636;20,707;0,1013;0,0794;23,0895;0,0939;0,094;5,0358;480,2229;326,7625
